35,35,국가의 복지 증진과 국민의 건강유지 향상을 위하여 필요한 전문 지식을 탐구하며 건전하고 유능한 보건행정의 전문 인재 양성을 목적으로 하는 학과이다.,건강에 대하여 관심이 많은 학생;남을 돕고 싶은 따뜻한 마음이 있는 학생;국제 사회에서 일을 하고 싶은 학생;다양한 인문학적 소양을 가진 학생;세상을 건강하고 아름답게 바꾸고 싶은 욕구를 가진 학생,확률과 통계;생활과 윤리;경제;정치와 법;사회·문화;생명과학Ⅰ;보건,생활과 과학;사회문제 탐구
4,4,"러시아어에 대한 체계적인 학습 훈련과 언어, 문화 및 문학에 관한 깊이 있는 이해를 통해, 러시아 및 해당 언어권 국가와 관련된 사회 여러 분야에서 요구되는 새로운 인재의 양성을 목표로 하는 학과이다.","러시아어권 국가의 어학, 문학, 문화에 관심이 있고 심화된 지식과 역량을 갖고자 하는 학생;새로운 세계를 탐구해 나가려는 호기심과 문학적 감수성과 상상력을 지닌 학생;문학적 감수성과 상상력이 있고, 언어의 과학적 구조에 관심이 있는 학생",영어Ⅰ;영어 독해와 작문;영어Ⅱ;윤리와 사상;세계지리;세계사;러시아어Ⅰ,영어권 문화;영미 문학 읽기;러시아어Ⅱ
40,40,"수학을 통해 수리력, 추리력, 분석적인 사고능력, 엄격한 논리체계 및 사물을 인식하고 이해하는 방법을 배워 자연 과학, 공학, 인문학, 사회과학에 이르기까지 광범위하게 응용하는 학문으로, 인류 사회의 발전을 위하여 수학과 관 련된 어떠한 분야에서도 능동적으로 일할 수 있는 미래의 인재 양성을 목적으로 하는 학과이다.","문제 해결 과정을 중요하게 여기고 이러한 과정에 흥미가 있는 학생;논리적인 사고와 분석력, 추리력이 있는 학생;현대 수학은 컴퓨터 활용 능력이 필요함",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;경제,기본 수학;실용 수학;인공지능 수학;기하;경제 수학;수학과제 탐구
69,69,"교통(도로, 철도, 항만, 항공교통) 문제의 근본적인 원인을 파악하고 문제 해결 방안(지리정보시스템, 빅데이터와 인공지능 등)을 효율적으로 적용할 수 있는 인력 양성을 목적으로 하는 학과이다.",문제를 해결하는 데 합리적인 방향을 고수하는 경향을 지닌 학생;우리 사회의 사물이나 상황을 큰 틀에서 볼 줄 아는 학생;교통수단과 시스템 체계 등에 대한 호기심과 관심이 있는 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;한국지리;경제;물리학Ⅰ;지구과학Ⅰ;정보,기하;물리학Ⅱ;생활과 과학
14,14,"사료 연구와 분석을 통해 역사와 문화를 실증적으로 복원하거나 재구성하여 인식의 지평을 넓히고 현재의 문제에 대한 대안을 제시하며 미래를 조망하는 학문이다. 역사에 대한 포괄적 이해를 바탕으로, 문화유산을 발굴하고 체 계화하는 능력을 종합적으로 갖춘 인재 양성을 목적으로 하는 학과이다.","문화나 역사와 관련된 풍부한 독서를 즐기고, 역사 과목 학습이 흥미로운 학생;비판적으로 생각하는 방법과 생각의 기초를 갖고 싶은 학생;한 마디의 말, 그림, 표시 속에 숨은 의미를 읽어보고 싶은 학생",확률과 통계;윤리와 사상;한국지리;세계지리;세계사;동아시아사;사회·문화;제2외국어Ⅰ;한문Ⅰ;철학,제2외국어Ⅱ;한문Ⅱ
87,87,치아 및 주위 조직과 악안면 부위 결손 및 손상된 부위의 기능을 인위적으로 회복하는 치과 보철물과 부정교합을 치료하는 교정 장치물에 관한 이론과 실기를 다루는 치과 의료 분야 전문 인력 양성을 목적으로 하는 학과이다.,"문화적 소양과 감성을 바탕으로 인간 몸의 다양함을 이해할 수 있는 학생;미술적인 감각과 과학적인 사고력의 조화를 알고, 관찰력이 예리하고 손재주가 있는 학생;물체를 입체적으로 생각하고 표현하는 공간지각력이 있어야 하며, 지구력과 집중력이 좋은 학생",확률과 통계;정치와 법;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;보건;정보,화학Ⅱ;생명과학Ⅱ
85,85,"환자의 혈액이나 체액, 소변, 조직 등을 화학·생물학·물리학·유전학적인 방법으로 분석하여 정보를 제공할 수 있도록 임상 검사 기술을 연구하는 학문이며 졸업 후 면허를 취득하고 임상병리사로 활동하게 된다. 의료기관의 다양한 분야에서 신뢰성 있는 정확한 검사 결과를 제공하여 질 높은 의료서비스를 할 수 있는 전문 임상병리사의 양성을 목적으로 하는 학과이다.",보건 의료인으로서의 사명감이 투철하고 성실한 학생;분석적 사고력을 갖추고 화학이나 생명과학 등의 교과목에 흥미가 있는 학생;실험이나 실습을 좋아하면서 관찰력이 예리한 학생,확률과 통계;정치와 법;화학Ⅰ;생명과학Ⅰ;보건,화학Ⅱ;생명과학Ⅱ;생활과 과학
54,54,"전기에너지의 생산, 효율적인 배분 및 수송, 전기시스템 설계, 제어 등을 할 수 있는 인력 양성을 목적으로 하는 학과이다.",복잡한 수식을 이해하고 계산하는 능력을 갖추고 수학과 물리학에 흥미가 있는 학생;빠르게 발전하고 있는 전기 · 전자 분야의 특성을 이해하고 항상 새로운 것에 호기심과 열정이 있는 학생,수학Ⅰ;수학Ⅱ;미적분;확률과 통계;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;지구과학Ⅰ;정보;환경,기하;물리학Ⅱ;화학Ⅱ
36,36,"세계화·정보화·지방화 시대를 맞이하여 행정 현상에 대한 이론적, 실제적 연구를 체계적으로 심화시킴으로써 국가 사회가 요구하는 유능한 행정전문가 양성을 목적으로 하는 학과이다.",분석력과 논리력이 뛰어난 학생;창의적으로 문제의 원인을 파악하고 해결하는 능력을 갖춘 학생;정부의 역할 및 기능에 관심이 있으며 국가 운영에 관한 꿈이 있는 학생;공익과 공공성을 추구하는 공공 문제에 관심이 많고 가치가 있는 일을 하고 싶은 학생,확률과 통계;생활과 윤리;경제;정치와 법;사회·문화;한문Ⅰ,사회문제 탐구
28,28,"가족 문제, 아동 문제, 노인 문제, 청소년비행 문제, 산업 복지 문제 등 현대 사회에서 발생하는 다양한 사회문제에 효과적으로 대응하며 인간의 삶의 질을 향상시킬 수 있는 사회복지 전문 인재 양성을 목적으로 하는 학과이다.",비판적 사고와 합리적 의사소통 능력이 있는 학생;협업을 통해 새로운 사회적 가치를 창조하려는 태도를 가진 학생;사회봉사 실천 의지 및 공공성과 지도력을 가진 학생,확률과 통계;생활과 윤리;윤리와 사상;경제;정치와 법;사회·문화;심리학,사회문제 탐구
76,76,"식품 생산에 관련된 기술 및 제조 장비 등에 관해 연구하는 학문으로, 식품과 관련된 폭넓은 학문과 기술에 대한 전문 소양을 갖춘 인재 양성을 목적으로 하는 학과이다.","사람의 건강과 식품, 영양에 대한 중요성을 인지하고 있는 학생;첨단 기술을 식품에 응용할 수 있는 창의력 및 응용력을 겸비한 학생;생명과학이나 화학 등 자연과학 기초 과목을 좋아하는 학생",수학Ⅰ;수학Ⅱ;미적분;확률과 통계;경제;물리학Ⅰ;화학Ⅰ;생명과학Ⅰ;정보,기하;화학Ⅱ;생명과학Ⅱ;생활과 과학
